Review Text,Prediction,Error Type
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,pot##Fund Management##best##positive,Hallucination
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,withdraw money##Fund Management##best##positive,Wrong Aspect/Opinion
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,withdraw money##Fund Management##I could##positive,Undergeneration
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,needed help##Customer Support##I could withdraw money##positive,Undergeneration
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,take up my pot##Fund Management##best thing i ever done##positive,Undergeneration
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,needed help##Fund Management##I could withdraw money##positive,Undergeneration
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,take up my pot##Process & Onboarding##best thing I ever done##positive,Undergeneration
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",process##Process & Onboarding##terrible##negative,Hallucination
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",security breaches##Account & Access##stalled##negative,Hallucination
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",senior member of staff##Customer Support##keeps getting fob off##negative,Hallucination
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",funds##Fund Management##lost total trust##negative,Hallucination
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",agencies##Trust & Reliability##lost##negative,Hallucination
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.","data security##Transparency & Communication##security breaches, GDPR violation##negative",Undergeneration
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",trust##Trust & Reliability##lost total trust##negative,Undergeneration
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",complaint process##Process & Onboarding##constantly stalled##negative,Undergeneration
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",fund access##Fund Management##not had a payout##negative,Undergeneration
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from Nest as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",senior staff##Customer Support##keeps getting fobbed off##negative,Undergeneration
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",support##Customer Support##no support was aware##negative,Correct
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",support line##Customer Support##no means on advice##negative,Hallucination
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",web site##Website & Usability##fine##negative,Hallucination
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",login page##Account & Access##checks all kinds of similar senseless restrictions on passwords##negative,Hallucination
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",trustpilot reaction##Customer Support##very poor##negative,Hallucination
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",employer sign up##Process & Onboarding##impossible##nan,Undergeneration
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",security##Account & Access##review##negative,Undergeneration
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",email restriction##Account & Access##restriction is ridiculous##negative,Undergeneration
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions",Trustpilot response##Transparency & Communication##very poor##negative,Undergeneration
"IMPOSSIBLE to sign up. filled out employer sign up about 20 times and always get the message ""URL rejected, contact your system adminsitrator and some error code""
when talking to nest, this seems to be a common problem and i was advised to delete cookies (did that), change browser (did that as well), change device... BUT the web site is fine (and that this would happen only sometimes, to very few people on the weekend when website would be maintained)
i am thinking about changing pension provider.
NEVER seen a problem like this in my whole life

UPDATE: did try a different device and this isn't wokring either. Well done NEST! Way to go (bankrupt).

UPDATE: nest pension answered with ""need to improve"" and ""take into consideration""!!!! THIS WEBSITE IS NOT WORKING. This needs to be fixed.

i am still waiting for nest pension support to solve this (7 days after)

NEW UPDATE: Finally success! i was able to sign up, but by no means on advice of the support line (phone or web). by pure luck i tried my personal e-mail (hotmail). which worked - as it doesn't contain a special character (my work e-mamil is admin at xx-xxx.com).
I am leaving my rating:
1. in the first place this restriction is RIDICULOUS. if anything, a hotmail, gmail account is less secure in this context than a corporate e-mail - anybody can get it.
2. the sign up page checks all kinds of similar senseless restrictions on passwords (cant' have a "".""), PINS (no two consecutive can be the same), but NOT on any e-mail.
3. i guess my employees have to sign up wiht their personal e-mails as well.
4. NO support was aware of any of this. after FIVE hours of trying i stumbled across this.
5. the Trustpilot reaction from nest pensions was very poor.
whoever designed this should get four weeks of closed door training and review their guidelines on security restrictions","website usability##Website & Usability##not working, senseless restrictions##negative",Undergeneration
NEST is good way to save for the future and it is easy to check your projected pension forecast,NEST##Fund Management##good##positive,Hallucination
NEST is good way to save for the future and it is easy to check your projected pension forecast,check your projected pension forecast##Fund Management##easy##positive,Wrong Category
NEST is good way to save for the future and it is easy to check your projected pension forecast,projected pension forecast##Website & Usability##easy to check##positive,Undergeneration
NEST is good way to save for the future and it is easy to check your projected pension forecast,save for the future##Process & Onboarding##good way##positive,Undergeneration
NEST is good way to save for the future and it is easy to check your projected pension forecast,saving for the future##Fund Management##good way##positive,Undergeneration
NEST is good way to save for the future and it is easy to check your projected pension forecast,check your projected pension forecast##Website & Usability##easy##positive,Undergeneration
It is excellent,nan##Process & Onboarding##excellent##positive,Wrong Aspect/Opinion
It is excellent,it##Process & Onboarding##excellent##positive,Undergeneration
It is excellent,(implicit)##General Experience##excellent##positive,Undergeneration
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",look at my predicted pot##Fund Management##easy##positive,Hallucination
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",topping it up##Fund Management##a little confusing##negative,Wrong Aspect/Opinion
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",choosing to pay extra each month##Fund Management##not to difficult##negative,Hallucination
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",sites##Website & Usability##easier to use##positive,Hallucination
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",topping up##Fund Management##a little confusing##negative,Undergeneration
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
 Not to difficult, but I've found other sites easier to use.",look at my predicted pot retirement time##Fund Management##easy to do##positive,Undergeneration
"Further to previous complaint about NEST Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December 2024 date provided by NEST as a resolution date, nothing done. 3rd January 2025 , date provided by NEST for resolution date, nothing done). NEST Pensions = Pension Scam",response##Customer Support##polite##positive,Hallucination
"Further to previous complaint about NEST Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December 2024 date provided by NEST as a resolution date, nothing done. 3rd January 2025 , date provided by NEST for resolution date, nothing done). NEST Pensions = Pension Scam",complaint##Customer Support##still dealing##negative,Hallucination
"Further to previous complaint about NEST Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December 2024 date provided by NEST as a resolution date, nothing done. 3rd January 2025 , date provided by NEST for resolution date, nothing done). NEST Pensions = Pension Scam",letters and phonecalls##Customer Support##scam##negative,Hallucination
