Review Text,Aspect Term,Aspect Category,Opinion Term,Sentiment Polarity,Done,Main,Human
"Wanted to top up my pension pot after having a look at my predicted pot come retirement time. This was easy to to, but then it was a little confusing on topping it up and also the choosing to pay extra each month.
Not to difficult, but I've found other sites easier to use.",look at my predicted pot retirement time,Fund Management,easy to do,positive ,Y,1.0,Y
nan,topping up,Fund Management,a little confusing,negative,Y,0.0,Y
"Further to previous complaint about [Company X] Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December [PhoneNumber] date provided by [Company X] as a resolution date, nothing done. 3rd January [PhoneNumber] , date provided by [Company X] for resolution date, nothing done). [Company X] Pensions = Pension Scam",customer service,Customer Support,polite but meaningless,negative ,Y,1.0,Y
nan,trust,Trust & Reliability,Pension Scam,negative ,Y,0.0,Y
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",they,Trust & Reliability,brilliant until,negative,Y,1.0,Y
nan,pension,Account & Access,lose access,negative,Y,0.0,Y
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
Made what I thought would be a difficult thing to do, very very easy. Thank you",information given beforehand,Process & Onboarding,Clear,Positive,Y,1.0,Y
nan,every step of the way,Transparency & Communication,Informed,positive,Y,0.0,Y
nan,at every stage,Transparency & Communication,transparency,positive,Y,0.0,Y
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",account,Account & Access,locked me out,negative,Y,1.0,Y
nan,Customer Support (implicit),Customer Support,no one to speak to,negative,Y,0.0,Y
nan,withdraw my pension,Fund Management,information I do not have,negative,Y,0.0,Y
nan,staff,Customer Support,extremely helpful,positive ,Y,0.0,Y
I try to put some money in my work pension. But I findout my nest pension I get when I reach74 .and I find another thing I have to pay tax on my second pension don't understand how snd why we put money from hard work pay taxonomy job and than pay tax on work pension too than I stop to top up money just leave workone,taxation (implicit),Transparency & Communication,dont understand how and why,negative,Y,1.0,Y
"My very good friend who have suffered a terrible loss, started this process quite a while ago. To date, she is being constantly stalled, security breaches in relation to her personal information, GDPR. She has on numerous occasions asked to speak to a senior member of staff and keeps getting fob off. She still has not had a pay out.

I will now be seeking a removal of my funds from [Company X] as I have now lost total trust in them and I will be contacting the agencies that I work for to consider moving the staff pensions elsewhere.",security,Trust & Reliability,breaches,negative,Y,1.0,Y
nan,process,Process & Onboarding ,constantly stalled,negative,Y,0.0,Y
nan,staff,Customer Support,keeps getting fob off,negative,Y,0.0,Y
nan,trust,Trust & Reliability,lost,negative,Y,0.0,Y
[Company X] made it so easy to transfer my other pension into my nest one. Was very easy and didnât need to speak to anyone.,transfer,Fund Management,"so easy, didn' need to speak to anyone",positive ,Y,1.0,Y
"Awful stay away! Take your money out and find another pension company. My mother died and I needed the small amount in my [Company X] Pension account. They stalled and stalled, changing the goal posts, they talk about security but when you look into this and question it, they contradict their own security policy and breach GDRP. Please stay away from [Company X], its all a con!",fund withdrawal (implicit),Fund Management,stalled,negative,Y,1.0,Y
nan,GDPR,Trust & Reliability,breach,negative,Y,0.0,Y
I getting information from my personal account any time and easily.Thanks,getting information,Transparency & Communication,any time and easily,positive ,Y,1.0,Y
It was very straight forward you just log in and go to make a one off payment with a card unlike other providers they make it a big lot of hassle of a one off payment with nest you just log in and pay and thats it job done,one off payment,Fund Management,"very straightforward, just log in and pay",positive ,Y,1.0,Y
nan,other providers,Alternative Provider,a big lot of hassle,negative ,Y,0.0,Y
"The transfer of my 2 existing pension policies was seemless. The company I had my policies with were asking for so much information to cash in and move my existing policies it was quite overwhelming. I found the transition so easy, to move to my nest pension",transfer,Fund Management,seemless,positive ,Y,1.0,Y
nan,asking for so much information,Alternative Provider,overwhelming,negative ,Y,0.0,Y
nan,move to my nest pension,Process & Onboarding,so easy,positive ,Y,0.0,Y
